Date,Value,Return,Weights
0,10000.0,0.0,"[('Close_x', 0.0, 0.003026254511229799), ('Close_y', 0.0, -0.0027884703416090747)]"
1,10000.0,0.0,"[('Close_x', 0, -0.013676799620101883), ('Close_y', 0, -0.0007733120819640184)]"
2,9892.424812991861,-0.01075751870081385,"[('Close_x', 0, -0.0026086842791634315), ('Close_y', 1, -0.01075751870081385), ('Signals', 0, -2.0)]"
3,9891.459633445276,-9.756753928698277e-05,"[('Close_x', 0, 0.0033161116865807892), ('Close_y', 1, -9.756753928698277e-05), ('Signals', 0, -1.0)]"
4,9828.88124941793,-0.006326506536583906,"[('Close_x', 0, -0.002653459446451063), ('Close_y', 1, -0.006326506536583906)]"
5,9784.34752647894,-0.004530904566745827,"[('Close_x', 0, -0.001867025897351845), ('Close_y', 1, -0.004530904566745827)]"
6,9761.671328756278,-0.0023175993760743475,"[('Close_x', 0, -0.002431645122710123), ('Close_y', 1, -0.0023175993760743475)]"
7,9819.086627993229,0.0058817078862114505,"[('Close_x', 0, 0.003182320003601187), ('Close_y', 1, 0.0058817078862114505)]"
8,9819.086627993229,0.0,"[('Close_x', 0, -0.005578678176217819), ('Close_y', 0, 0.002143923277627588)]"
9,9819.086627993229,0.0,"[('Close_x', 0, 0.010527031289032181), ('Close_y', 0, -0.0010208872254423606), ('Signals', 0, -1.0)]"
10,9819.086627993229,0.0,"[('Close_x', 0, -0.008363581010938927), ('Close_y', 0, -0.00121770377571289)]"
11,9803.16291440017,-0.0016217102665802925,"[('Close_x', 0, -0.00010475272061323655), ('Close_y', 1, -0.0016217102665802925)]"
12,9750.262787220248,-0.005396230547409895,"[('Close_x', 0, 0.001761804759782954), ('Close_y', 1, -0.005396230547409895), ('Signals', 0, -1.0)]"
13,9758.286860403634,0.0008229596841124811,"[('Close_x', 0, -0.0013732481395002188), ('Close_y', 1, 0.0008229596841124811)]"
14,9791.581830981058,0.0034119688274923702,"[('Close_x', 0, 0.0011250596936873336), ('Close_y', 1, 0.0034119688274923702)]"
15,9770.833218179825,-0.002119025624193147,"[('Close_x', 0, -0.0024661382338788096), ('Close_y', 1, -0.002119025624193147)]"
16,9741.157106080684,-0.0030372140672634486,"[('Close_x', 0, -0.0017525115591746749), ('Close_y', 1, -0.0030372140672634486)]"
17,9741.157106080684,0.0,"[('Close_x', 0, -0.007246896076925367), ('Close_y', 0, -0.0034427607391640867)]"
18,9741.157106080684,0.0,"[('Close_x', 0, 0.001347167036569997), ('Close_y', 0, -0.001690010688282158), ('Signals', 0, -1.0)]"
19,9699.445289662073,-0.004282018651826528,"[('Close_x', 0, 0.002444043247294734), ('Close_y', 1, -0.004282018651826528)]"
20,9747.947367354269,0.005000500156837892,"[('Close_x', 0, 0.003381924131074186), ('Close_y', 1, 0.005000500156837892), ('Signals', 0, -1.0)]"
21,9765.869216618708,0.0018385254442857828,"[('Close_x', 0, 0.004593256844435897), ('Close_y', 1, 0.0018385254442857828)]"
22,9751.50790653544,-0.0014705613770486785,"[('Close_x', 0, -0.0005929978441204302), ('Close_y', 1, -0.0014705613770486785)]"
23,9736.307342361246,-0.001558791144906492,"[('Close_x', 0, -0.0026700736464579282), ('Close_y', 1, -0.001558791144906492)]"
24,9761.527889901448,0.0025903606627607793,"[('Close_x', 0, -0.0017378006129413553), ('Close_y', 1, 0.0025903606627607793)]"
25,9770.258648729188,0.0008944049462555756,"[('Close_x', 0, 0.0030425683891073915), ('Close_y', 1, 0.0008944049462555756)]"
26,9770.258648729188,0.0,"[('Close_x', 0, -0.005566323053635946), ('Close_y', 0, -0.001588598691125572)]"
27,9770.258648729188,0.0,"[('Close_x', 0, 0.0014465140096796383), ('Close_y', 0, 0.0019889079404578043), ('Signals', 0, -1.0)]"
28,9785.356266020208,0.0015452628056046719,"[('Close_x', 0, -0.00037679809209071864), ('Close_y', 1, 0.0015452628056046719)]"
29,9752.319501253209,-0.0033761432766347206,"[('Close_x', 0, 4.716544766672435e-05), ('Close_y', 1, -0.0033761432766347206), ('Signals', 0, -1.0)]"
30,9752.319501253209,0.0,"[('Close_x', 0, -0.005622680602312705), ('Close_y', 0, -0.003794633002406642)]"
31,9776.813653408612,0.002511623224839383,"[('Close_x', 0, 0.0006160103697970984), ('Close_y', 1, 0.002511623224839383), ('Signals', 0, -2.0)]"
32,9758.319766515631,-0.0018916067697098747,"[('Close_x', 0, -0.0029675540233180648), ('Close_y', 1, -0.0018916067697098747), ('Signals', 0, -1.0)]"
33,9793.360424519651,0.0035908495358246157,"[('Close_x', 0, 0.001694014469324433), ('Close_y', 1, 0.0035908495358246157)]"
34,9777.300061050553,-0.001639923659797945,"[('Close_x', 0, -0.001912443189825976), ('Close_y', 1, -0.001639923659797945)]"
35,9776.083670642156,-0.00012440964282598116,"[('Close_x', 0, 0.0007284591807699921), ('Close_y', 1, -0.00012440964282598116)]"
36,9819.641289326213,0.004455528425443231,"[('Close_x', 0, 0.0030381398243563645), ('Close_y', 1, 0.004455528425443231)]"
37,9819.641289326213,0.0,"[('Close_x', 0, -0.002776566151428759), ('Close_y', 0, -0.0049066039163441575)]"
38,9819.641289326213,0.0,"[('Close_x', 0, 0.0014870632928358778), ('Close_y', 0, 0.0011704383493391785), ('Signals', 0, -1.0)]"
39,9819.641289326213,0.0,"[('Close_x', 0, -0.002021875125035492), ('Close_y', 0, 7.461826079636281e-05)]"
40,9836.248970259625,0.00169127165077434,"[('Close_x', 0, 0.003735454180451052), ('Close_y', 1, 0.00169127165077434)]"
41,9836.248970259625,0.0,"[('Close_x', 0, -0.0037896965759522607), ('Close_y', 0, -0.0005958937284458327), ('Signals', 0, -2.0)]"
42,9862.641558605816,0.002683196452833851,"[('Close_x', 0, 0.0021262029514676566), ('Close_y', 1, 0.002683196452833851), ('Signals', 0, -2.0)]"
43,9882.436932096814,0.0020071066532602456,"[('Close_x', 0, 0.0006435358200714339), ('Close_y', 1, 0.0020071066532602456), ('Signals', 0, -1.0)]"
44,9885.124741540418,0.0002719784059409019,"[('Close_x', 0, 0.0039662558972114815), ('Close_y', 1, 0.0002719784059409019)]"
45,9892.455808918505,0.0007416261878091641,"[('Close_x', 0, 0.0012264611586084906), ('Close_y', 1, 0.0007416261878091641)]"
46,9892.455808918505,0.0,"[('Close_x', 0, -0.002575480657344711), ('Close_y', 0, -0.0028655463920729276)]"
47,9892.455808918505,0.0,"[('Close_x', 0, 0.0009446351546116934), ('Close_y', 0, 0.001139608161690234), ('Signals', 0, -1.0)]"
48,9892.455808918505,0.0,"[('Close_x', 0, 0.002831326989993437), ('Close_y', 0, -0.0006434292543870811)]"
49,9907.153545442707,0.0014857520526857456,"[('Close_x', 0, -0.0013489120387766738), ('Close_y', 1, 0.0014857520526857456)]"
50,9907.643195888937,4.9423928274043784e-05,"[('Close_x', 0, 0.0011309162319600552), ('Close_y', 1, 4.9423928274043784e-05), ('Signals', 0, -1.0)]"
51,9907.643195888937,0.0,"[('Close_x', 0, -0.004110440879879102), ('Close_y', 0, -0.004697606528766749)]"
52,9907.643195888937,0.0,"[('Close_x', 0, -0.0025206158783319917), ('Close_y', 0, 0.00029808008226175334), ('Signals', 0, -1.0)]"
53,9887.4630173903,-0.0020368293548369437,"[('Close_x', 0, -0.00023684162582666838), ('Close_y', 1, -0.0020368293548369437)]"
54,9887.4630173903,0.0,"[('Close_x', 0, -0.0057975826982314335), ('Close_y', 0, -0.003557981072804207), ('Signals', 0, -2.0)]"
55,9864.993103249575,-0.0022725661882330166,"[('Close_x', 0, 0.00041313361458727635), ('Close_y', 1, -0.0022725661882330166), ('Signals', 0, -2.0)]"
56,9846.227609039624,-0.0019022308493829194,"[('Close_x', 0, 0.0007306343131157113), ('Close_y', 1, -0.0019022308493829194), ('Signals', 0, -1.0)]"
57,9846.227609039624,0.0,"[('Close_x', 0, -0.0009839942552869348), ('Close_y', 1, 0.0)]"
58,9882.27788444814,0.0036613286671757926,"[('Close_x', 0, 0.0016839791592670778), ('Close_y', 1, 0.0036613286671757926)]"
59,9900.549807654292,0.001848958653035472,"[('Close_x', 0, 0.001776303816681574), ('Close_y', 1, 0.001848958653035472)]"
60,9903.512740764101,0.0002992695524361328,"[('Close_x', 0, 0.0002849608504955652), ('Close_y', 1, 0.0002992695524361328)]"
61,9903.512740764101,0.0,"[('Close_x', 0, -0.0028805788090290915), ('Close_y', 0, -0.002642858267879954)]"
62,9903.512740764101,0.0,"[('Close_x', 0, 0.0), ('Close_y', 0, 0.0006499919323183036), ('Signals', 0, -1.0)]"
63,9903.512740764101,0.0,"[('Close_x', 0, 0.0016397143167162698), ('Close_y', 0, -0.0007994586919024397)]"
64,9903.512740764101,0.0,"[('Close_x', 0, -0.002334303299836684), ('Close_y', 0, -0.004500419620523121)]"
65,9878.037600097212,-0.0025723338106114903,"[('Close_x', 0, -0.0003494038756878404), ('Close_y', 1, -0.0025723338106114903), ('Signals', 0, -2.0)]"
66,9906.994593814934,0.002931452064673113,"[('Close_x', 0, -0.0003655281629799788), ('Close_y', 1, 0.002931452064673113), ('Signals', 0, -1.0)]"
67,9906.994593814934,0.0,"[('Close_x', 0, -0.0026545166171905877), ('Close_y', 0, -0.005121712502798672)]"
68,9935.495619260671,0.002876858887510851,"[('Close_x', 0, -6.37160958628604e-05), ('Close_y', 1, 0.002876858887510851), ('Signals', 0, -2.0)]"
69,9935.495619260671,0.0,"[('Close_x', 0, 0.001593879440686847), ('Close_y', 1, 0.0), ('Signals', 0, -1.0)]"
70,9982.987918280762,0.004780063404992304,"[('Close_x', 0, 0.0009866249094525425), ('Close_y', 1, 0.004780063404992304)]"
71,9987.998391687326,0.0005019011790435966,"[('Close_x', 0, 0.002225626109562478), ('Close_y', 1, 0.0005019011790435966)]"
72,9992.498433129676,0.00045054487054144393,"[('Close_x', 0, -0.0011738051686734985), ('Close_y', 1, 0.00045054487054144393)]"
73,10014.994825453796,0.00225132808122695,"[('Close_x', 0, 0.0028545044106739153), ('Close_y', 1, 0.00225132808122695)]"
74,10019.749701389492,0.00047477567573079324,"[('Close_x', 0, -0.0002968260777027206), ('Close_y', 1, 0.00047477567573079324)]"
75,9989.498405501441,-0.0030191668244822193,"[('Close_x', 0, -0.0012513710891027844), ('Close_y', 1, -0.0030191668244822193)]"
76,10005.249313527189,0.0015767466379567,"[('Close_x', 0, 0.001205408034298176), ('Close_y', 1, 0.0015767466379567)]"
77,9997.998738107275,-0.0007246771362418944,"[('Close_x', 0, 0.0006653089117940194), ('Close_y', 1, -0.0007246771362418944)]"
78,9989.49840550144,-0.0008502034085517749,"[('Close_x', 0, -0.001013194427334026), ('Close_y', 1, -0.0008502034085517749)]"
79,9990.498669036691,0.0001001315075741733,"[('Close_x', 0, -0.0012677291785372202), ('Close_y', 1, 0.0001001315075741733)]"
80,9994.99871047904,0.00045043211469477116,"[('Close_x', 0, -0.0008247261339790654), ('Close_y', 1, 0.00045043211469477116)]"
81,10000.499015456642,0.0005503057215840836,"[('Close_x', 0, 0.006923395729285156), ('Close_y', 1, 0.0005503057215840836)]"
82,10005.999320434246,0.0005500030517579546,"[('Close_x', 0, -0.0024918260270925317), ('Close_y', 1, 0.0005500030517579546)]"
83,10000.499015456642,-0.0005497007146873231,"[('Close_x', 0, 0.0012648028347332016), ('Close_y', 1, -0.0005497007146873231)]"
